"base_model","shape","talla","rank","alpha","network","optimizer","ep","batch","gas","unet_lr","te_lr","sched","warm","snr","noise_off","wd","d_coef","workers","x_over"
"femboysLover/RealisticStockPhoto-fp16","style","M","32","32","conv","adamw","21","8","1","3.2E-05","1.5E-06","cosine","75","5","0.03","0.0001",,"4",""
"femboysLover/RealisticStockPhoto-fp16","style","G","32","32","conv","adamw","15","10","1","3.6E-05","1.8E-06","cosine","100","5","0.035","0.0001",,"6",""
"femboysLover/RealisticStockPhoto-fp16","style","EG","32","32","conv","adamw","9","12","1","4E-05","2E-06","cosine","120","5","0.04","0.0001",,"8",""
"femboysLover/RealisticStockPhoto-fp16","subject","ECH","64","64","conv","prodigy","35","7","1","0.9","0.9","constant",,"7",,"0.015","1.2","2",""
"femboysLover/RealisticStockPhoto-fp16","subject","CH","64","64","conv","prodigy","27","8","1","0.92","0.92","constant",,"5",,"0.01","1.3","4","scale_weight_norms"
"femboysLover/RealisticStockPhoto-fp16","subject","M","64","32","conv","prodigy","35","10","1","1.1","1.1","constant_with_warmup","30","7",,"0.001","1.5","4","network_alpha;network_dim"
"femboysLover/RealisticStockPhoto-fp16","subject","G","64","64","conv","prodigy","23","10","1","1.21","1.21","constant_with_warmup","60","6",,"0.01","1.1","6",""
"femboysLover/RealisticStockPhoto-fp16","subject","EG","64","64","conv","prodigy","36","7","1","0.9","0.9","constant",,"7",,"0.015","1.2","2",""
"fluently/Fluently-XL-Final","style","ECH","32","32","conv","adamw","39","4","2","2.31E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
"fluently/Fluently-XL-Final","style","CH","32","32","conv","adamw","40","6","1","3E-05","1.5E-06","constant","0","5.0","0.05","0.0015",,"4","loss_type"
"fluently/Fluently-XL-Final","style","M","32","32","conv","adamw","45","6","1","3.3E-05","1.7E-06","constant","0","5.0","0.05","0.0015",,"4","loss_type"
"fluently/Fluently-XL-Final","style","G","32","32","conv","adamw","18","10","1","3.78E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"fluently/Fluently-XL-Final","style","EG","32","32","conv","adamw","11","12","1","4.2E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"fluently/Fluently-XL-Final","subject","ECH","32","32","plain","prodigy","36","4","2","0.84","0.84","constant",,"6",,"0.015","1.3","4",""
"fluently/Fluently-XL-Final","subject","M","32","32","plain","prodigy","27","8","1","1.05","1.05","constant_with_warmup","50","6",,"0.01","1.1","4",""
"fluently/Fluently-XL-Final","subject","G","32","32","plain","prodigy","19","10","1","1.155","1.155","constant_with_warmup","75","6",,"0.01","1.0","6",""
"fluently/Fluently-XL-Final","subject","EG","32","32","plain","prodigy","11","12","1","1.26","1.26","constant_with_warmup","100","6",,"0.01","0.9","8",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","style","ECH","32","32","conv","adamw","38","4","2","2.2E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","style","CH","32","32","conv","adamw","32","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","style","M","32","32","conv","adamw","25","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","subject","ECH","32","32","conv","prodigy","35","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","subject","CH","32","32","conv","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","subject","M","32","32","conv","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","subject","G","32","32","conv","prodigy","19","10","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"GHArt/Lah_Mysterious_SDXL_V4.0_xl_fp16","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"GraydientPlatformAPI/albedobase2-xl","style","ECH","32","32","conv","adamw","50","10","1","3.2E-05","1E-06","constant_with_warmup","25","6","0.02","0.01",,"4",""
"GraydientPlatformAPI/albedobase2-xl","style","CH","32","32","conv","adamw","32","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"GraydientPlatformAPI/albedobase2-xl","style","M","32","32","conv","adamw","25","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"GraydientPlatformAPI/albedobase2-xl","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"GraydientPlatformAPI/albedobase2-xl","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"GraydientPlatformAPI/albedobase2-xl","subject","ECH","64","64","conv","prodigy","44","8","2","0.8","0.8","constant",,"5",,"0.015","1.3","4",""
"GraydientPlatformAPI/albedobase2-xl","subject","CH","64","64","conv","prodigy","27","6","1","0.9","0.9","constant",,"5",,"0.015","1.2","4",""
"GraydientPlatformAPI/albedobase2-xl","subject","M","64","64","conv","prodigy","45","8","1","1.0","1.0","constant","0","5","0.05","0.01","1.1","4",""
"GraydientPlatformAPI/albedobase2-xl","subject","G","64","64","conv","prodigy","28","10","1","1.1","1.1","constant_with_warmup","75","7",,"0.01","1.0","6",""
"GraydientPlatformAPI/albedobase2-xl","subject","EG","64","64","conv","prodigy","9","12","1","1.2","1.2","constant_with_warmup","100","5",,"0.01","0.9","8",""
"GraydientPlatformAPI/realism-engine2-xl","style","ECH","32","32","conv","adamw","32","4","2","2.2E-05","1E-06","constant_with_warmup","25","5","0.02","0.00015",,"4",""
"GraydientPlatformAPI/realism-engine2-xl","style","CH","32","32","conv","adamw","27","6","1","2.8E-05","1.2E-06","cosine","50","5","0.025","0.00012",,"4",""
"GraydientPlatformAPI/realism-engine2-xl","style","M","32","32","conv","adamw","21","8","1","3.2E-05","1.5E-06","cosine","75","5","0.03","0.0001",,"4",""
"GraydientPlatformAPI/realism-engine2-xl","style","G","32","32","conv","adamw","35","8","1","4E-05","2E-06","cosine","100","5","0.035","0.0001",,"6",""
